日期,收盘,开盘,高,低,成交量,涨跌幅
2025/10/30,175.46,174.31,176.38,174.02,6.62M,-2.51%
2025/10/29,179.97,174.31,182.5,178.09,12.07M,1.84%
2025/10/28,176.72,177.48,179.38,175.24,11.91M,-1.52%
2025/10/27,179.45,179.74,180,177.62,12.58M,2.72%
2025/10/24,174.7,174.4,176.44,173.36,11.84M,1.63%
2025/10/23,171.9,168.97,173.24,168.32,12.79M,3.64%
2025/10/22,165.86,167,169.67,163.58,15.02M,-0.49%
2025/10/21,166.67,170.52,170.94,166.42,15.66M,-3.92%
2025/10/20,173.47,167.29,174.97,165.79,20.12M,3.84%
2025/10/17,167.05,161.76,169.1,161.15,17.77M,1.19%
2025/10/16,165.09,166.52,168.3,164.46,10.98M,-0.49%
2025/10/15,165.91,168.07,168.1,164.6,15.34M,1.87%
2025/10/14,162.86,160.05,166.5,160,18.58M,-2.37%
2025/10/13,166.81,167.78,168.79,165.03,25.70M,4.91%
2025/10/10,159.01,170.03,172.93,157.25,50.30M,-8.45%
2025/10/9,173.68,178.52,178.78,172.3,21.21M,-4.11%
2025/10/8,181.12,180.79,182.09,177.3,15.88M,-0.12%
2025/10/7,181.33,187.4,188.66,180.44,16.94M,-3.15%
2025/10/6,187.22,186.5,189.61,186.31,10.97M,-0.43%
2025/10/3,188.03,190.72,191.07,187.14,13.99M,-0.69%
2025/10/2,189.34,188.58,192.67,188.3,23.69M,3.59%
2025/10/1,182.78,179.98,183.08,178.87,14.97M,2.27%
2025/9/30,178.73,181.66,182.15,177.1,18.68M,-0.65%
2025/9/29,179.9,178.08,181.34,177.59,21.58M,4.65%
2025/9/26,171.91,172.17,172.76,169.7,15.97M,-2.03%
2025/9/25,175.47,173.4,175.77,170.43,20.71M,-0.55%
2025/9/24,176.44,175.98,180.16,175,52.64M,8.19%
2025/9/23,163.08,165.01,167.83,162.8,18.28M,-0.71%
2025/9/22,164.25,163.76,167.43,163.03,18.67M,0.88%
2025/9/19,162.81,164.69,166.25,162.61,18.18M,0.20%
2025/9/18,162.48,162.5,164.79,161.3,19.53M,-2.22%
2025/9/17,166.17,166,167.32,163.26,29.34M,2.44%
2025/9/16,162.21,158.36,163,157.59,26.02M,2.64%
2025/9/15,158.04,159.09,159.7,156.73,23.57M,1.92%
2025/9/12,155.06,154.07,155.46,152.06,20.90M,-0.24%
2025/9/11,155.44,148.12,156.85,147.86,50.09M,8.00%
2025/9/10,143.93,145.42,145.92,143.23,21.08M,-2.16%
2025/9/9,147.1,145.4,148,144.65,32.79M,4.18%
2025/9/8,141.2,139.88,141.22,138.77,20.10M,4.15%
2025/9/5,135.58,135.03,135.61,132.7,19.20M,3.56%
2025/9/4,130.92,133.16,134.25,130.06,24.73M,-4.05%
2025/9/3,136.45,136.7,137.77,135.58,16.47M,-1.52%
2025/9/2,138.55,134.47,138.83,133.06,41.63M,2.63%
2025/8/29,135,128.88,136.65,128.51,82.17M,12.90%
2025/8/28,119.57,119.53,121.25,117.6,14.50M,-2.18%
2025/8/27,122.23,121.2,122.51,120.79,13.83M,-1.58%
2025/8/26,124.19,125.29,126,123.72,8.71M,-0.13%
2025/8/25,124.35,125.18,126.73,123.5,12.89M,1.15%
2025/8/22,122.94,120.47,123.4,120.28,13.86M,4.11%
2025/8/21,118.09,117.88,119.27,117.51,8.23M,-1.17%
2025/8/20,119.49,119.92,120.81,118.67,7.10M,-0.42%
2025/8/19,119.99,121.58,122.58,119.99,8.11M,-1.16%
2025/8/18,121.4,121.92,123.15,120.9,8.55M,0.12%
2025/8/15,121.26,120.98,122.19,120.68,11.14M,-0.83%
2025/8/14,122.28,123.73,123.93,121.34,15.05M,-3.61%
2025/8/13,126.86,126.69,127.93,125.08,19.36M,3.63%
2025/8/12,122.42,118.81,122.79,118.1,11.99M,3.19%
2025/8/11,118.64,120.43,121.3,118.12,12.07M,-1.43%
2025/8/8,120.36,119.32,120.7,118.65,9.76M,-0.50%
2025/8/7,120.96,121.34,122.28,119.6,9.48M,0.08%
2025/8/6,120.86,118.88,121.29,117.77,12.08M,3.26%
2025/8/5,117.04,118.1,118.65,116.87,5.89M,-0.39%
2025/8/4,117.5,118.35,119.49,116.86,7.27M,0.37%
2025/8/1,117.07,118.06,118.37,116.11,12.42M,-2.95%
2025/7/31,120.63,117.82,121.34,117.52,13.65M,2.77%
2025/7/30,117.38,119.04,119.59,116.84,12.79M,-1.66%
2025/7/29,119.36,122.49,122.87,119.05,13.60M,-2.28%
2025/7/28,122.15,122.03,123.45,121.53,11.21M,1.77%
2025/7/25,120.03,120.19,120.48,119.34,7.06M,-0.92%
2025/7/24,121.15,121.85,123.99,120.45,11.38M,-1.17%
2025/7/23,122.58,122.79,123.86,121.4,12.87M,1.55%
2025/7/22,120.71,120.44,121.84,119,11.55M,0.37%
2025/7/21,120.27,119.51,122.31,118.25,17.94M,0.03%
2025/7/18,120.23,121.38,122.16,119.77,26.79M,2.50%
2025/7/17,117.3,115.04,118.2,114.86,14.57M,1.36%
2025/7/16,115.73,115.5,116.03,114.04,14.44M,-1.06%
2025/7/15,116.97,114.65,117.21,113.2,34.79M,8.09%
2025/7/14,108.22,107.64,108.8,107.19,13.23M,1.41%
2025/7/11,106.72,106.91,107.42,106.3,10.77M,0.08%
2025/7/10,106.64,105.14,106.76,104.41,13.55M,2.71%
2025/7/9,103.83,105.48,105.53,103.71,24.61M,-3.85%
2025/7/8,107.99,108.76,109.13,107.91,11.32M,1.62%
2025/7/7,106.27,107.43,108.2,105.94,17.45M,-2.24%
2025/7/3,108.7,108.33,109.08,107.95,11.85M,-1.82%
2025/7/2,110.71,111.57,111.82,110.37,13.84M,-2.86%
