日期,开盘,收盘,最高,最低,成交量（万股）,成交额（万元）,涨跌幅(%)
2018/1/2,44.66,43.74,45.17,43.35,"2,423.81","106,507.77",-1.7079
2018/1/3,43.92,43.98,44.87,43.64,"2,591.36","114,596.91",0.5487
2018/1/4,43.87,44.88,44.97,43.69,"2,031.08","90,342.22",2.0464
2018/1/5,45,42.89,45.1,42.81,"3,298.25","142,988.01",-4.434
2018/1/8,42.89,43,43.07,42.1,"2,123.96","90,254.15",0.2565
2018/1/9,42.85,44.32,44.36,42.82,"2,734.91","119,832.69",3.0698
2018/1/10,44.32,43.73,44.6,43.1,"1,649.09","72,083.53",-1.3312
2018/1/11,43.35,43.82,44.24,43.19,"1,223.19","53,638.37",0.2058
2018/1/12,43.83,45.46,45.54,43.5,"2,981.76","133,789.77",3.7426
2018/1/15,45.53,44.94,46.29,44.46,"3,189.84","144,974.84",-1.1439
2018/1/16,44.77,46.13,47.05,44.55,"3,142.32","144,728.56",2.648
2018/1/17,46.2,44.91,46.4,44.28,"2,139.14","96,744.71",-2.6447
2018/1/18,45.23,43.74,45.82,43.71,"2,069.89","92,105.94",-2.6052
2018/1/19,44,43.36,44.13,42.62,"1,712.84","74,162.87",-0.8688
2018/1/22,43.38,44.52,44.54,43.18,"1,676.37","73,728.61",2.6753
2018/1/23,44.5,44.15,44.77,43.83,"1,590.76","70,246.93",-0.8311
2018/1/24,44.54,44.76,45.05,44.07,"2,217.10","98,826.06",1.3817
2018/1/25,44.58,43.36,44.74,43.2,"2,155.63","94,138.74",-3.1278
2018/1/26,43.37,43.07,43.51,42.81,"1,507.86","64,996.62",-0.6688
2018/1/29,43.08,40.18,43.33,40,"3,650.47","150,181.16",-6.71
2018/1/30,40.1,40.19,40.64,39.82,"1,658.51","66,734.75",0.0249
2018/1/31,40,40.59,40.9,39.08,"1,710.70","68,662.58",0.9953
2018/2/1,40.6,39.39,40.88,39.18,"1,475.12","58,683.64",-2.9564
2018/2/2,39.33,40.64,41.16,39.02,"1,702.72","68,655.78",3.1734
2018/2/5,40,40.18,41.09,39.73,"1,442.16","58,145.07",-1.1319
2018/2/6,39.15,37.97,39.6,37.5,"2,341.26","89,816.96",-5.5002
2018/2/7,38.99,36.75,39.12,36.31,"2,464.39","92,702.18",-3.2131
2018/2/8,36.79,37.38,37.77,36.78,"1,242.95","46,431.21",1.7143
2018/2/9,35.95,34.87,36.37,34.56,"2,200.20","78,188.22",-6.7148
2018/2/12,35.23,37.44,37.5,35.2,"2,126.94","77,944.56",7.3702
2018/2/13,37.58,38.41,39.36,37.54,"1,697.02","65,668.70",2.5908
2018/2/14,38.42,39.91,40.09,38.41,"1,470.81","58,298.10",3.9052
2018/2/22,40.11,40.37,41,39.91,"1,185.03","47,997.83",1.1526
2018/2/23,40.66,40.16,40.75,39.91,793.3033,"31,972.04",-0.5202
2018/2/26,40.2,40.96,40.98,39.73,"1,601.89","64,820.25",1.992
2018/2/27,41.06,39.41,41.09,39.3,"1,571.90","62,926.99",-3.7842
2018/2/28,39.02,39.9,40.14,38.83,"1,074.59","42,664.68",1.2433
2018/3/1,39.69,41.44,41.6,39.55,"1,800.89","73,921.78",3.8596
2018/3/2,40.9,40.21,41.37,39.86,"1,717.35","69,609.12",-2.9681
2018/3/5,40.54,39.94,40.66,39.11,"1,210.11","48,022.38",-0.6715
2018/3/6,39.91,42.02,42.1,39.91,"2,592.78","106,727.93",5.2078
2018/3/7,41.99,41.11,42.06,40.93,"1,555.59","64,481.27",-2.1656
2018/3/8,41.05,43.06,43.29,41.02,"2,726.41","116,481.03",4.7434
2018/3/9,43.13,43.43,43.47,42.55,"2,089.89","90,251.48",0.8593
2018/3/12,44,43.85,44.74,43.2,"2,592.57","113,958.76",0.9671
2018/3/13,43.63,42.91,43.77,42.5,"1,804.54","77,544.20",-2.1437
2018/3/14,42.88,42.99,43.56,42.42,"1,405.53","60,420.69",0.1864
2018/3/15,42.67,43.47,44.02,42.53,"1,995.40","86,668.72",1.1165
2018/3/16,43.39,42.61,43.85,42.58,"1,437.59","62,090.29",-1.9784
