日期,开盘,收盘,最高,最低,成交量,成交额,涨跌幅
2018/5/24,638.34,634.26,646.02,632.14,3041600,2191.7,-0.0116
2018/5/25,631.25,635.56,644.55,631.25,2651100,1908.7,0.002
2018/5/28,636.57,656.43,656.66,634.02,4280500,3129.96,0.0328
2018/5/29,655.01,648.48,664.94,648.34,4082000,3029.7,-0.0121
2018/5/30,644.74,643.55,653.68,638.39,3714700,2706.49,-0.0076
2018/5/31,647.43,665.94,666.38,647.42,7185300,5356.22,0.0348
2018/6/1,665.94,660.6,669.36,654.97,3617800,2694.42,-0.008
2018/6/4,667.02,693.28,694.11,661.29,7380600,5697.54,0.0495
2018/6/5,697.3,698.67,704.57,689.08,5263000,4136.58,0.0078
2018/6/6,698.63,696.64,710.11,693.58,4896900,3870.62,-0.0029
2018/6/7,700.39,692.4,705.32,690.56,3916800,3078.14,-0.0061
2018/6/8,691.54,689.72,696.77,682.67,3495800,2712.36,-0.0039
2018/6/11,688.04,687.75,696.86,681.19,3654800,2837.4,-0.0029
2018/6/12,689.76,708.55,712.37,688.43,5528700,4385.04,0.0302
2018/6/13,709.27,700.7,711.59,699.41,3524400,2803.44,-0.0111
2018/6/14,700.4,696.97,703.77,687.26,3616000,2830.51,-0.0053
2018/6/15,695.24,695.35,700.07,691.55,3170800,2455.44,-0.0023
2018/6/19,691.46,663.59,691.46,662.69,6019600,4535.66,-0.0457
2018/6/20,666.28,686.6,687.86,666.28,4583800,3454.58,0.0347
2018/6/21,688.06,682.76,700.35,682.26,3918300,3013.87,-0.0056
2018/6/22,677.97,689.24,689.66,674.38,2885500,2190.06,0.0095
2018/6/25,688.76,688.37,700.43,687.77,3293400,2543.27,-0.0013
2018/6/26,688.14,678.69,692.25,671.68,4657800,3516.95,-0.0141
2018/6/27,676.17,649.6,680.67,648.3,5729800,4194.74,-0.0429
2018/6/28,642.01,639.25,646.5,626.72,5083400,3610.84,-0.0159
2018/6/29,640.48,657.71,658.46,633.91,3292900,2378.88,0.0289
2018/7/2,660.46,639.8,664.78,632.12,3755800,2709.88,-0.0272
2018/7/3,638.19,624.85,643.61,609.84,8283700,5743.33,-0.0234
2018/7/4,622.22,621.24,629.42,618.63,3799100,2637.5,-0.0058
2018/7/5,629.42,631.57,643.98,629.42,4712400,3333.68,0.0166
2018/7/6,635.71,642.11,648.24,628.75,4415700,3140.92,0.0167
2018/7/9,647.43,653.91,656.27,647.16,4057300,2944.66,0.0184
2018/7/10,655.49,652.58,657.74,641.4,2901000,2096.68,-0.002
2018/7/11,638.41,647.02,651,631.41,2427800,1736.88,-0.0085
2018/7/12,645.6,663.17,666.44,645.6,4017000,2947.13,0.025
2018/7/13,667.45,671.67,672.67,661,2890700,2152.95,0.0128
2018/7/16,676.44,678.58,687.06,675.3,3247500,2454.5,0.0103
2018/7/17,680.67,667.57,680.67,661.81,2780600,2064.19,-0.0162
2018/7/18,667.57,663.08,674.1,660.89,2452200,1818.76,-0.0067
2018/7/19,664.49,666.24,668.94,660.91,1807900,1337.08,0.0048
2018/7/20,666.73,666.4,668.2,654.59,3054900,2249.79,0.0002
2018/7/23,661.79,658.25,666.42,647.41,3597000,2621.76,-0.0122
2018/7/24,658.8,670.24,671.95,650.1,4180900,3091.21,0.0182
2018/7/25,671.63,668.81,674.27,665.39,2174400,1618.74,-0.0021
2018/7/26,673.39,661.45,673.39,660.2,2306700,1707.66,-0.011
2018/7/27,661.79,664.09,669.25,656.39,2091400,1546.66,0.004
2018/7/30,664.4,646.69,665.98,642.91,4217200,3058.62,-0.0262
2018/7/31,647.67,653.19,654.49,646.69,2068300,1499.35,0.0101
2018/8/1,657.65,642.85,658.46,642.11,2523800,1821.93,-0.0158
2018/8/2,643.78,625.68,643.78,618.52,5500100,3840.14,-0.0267
2018/8/3,624.92,610.53,624.92,608.02,4733700,3230.24,-0.0242
2018/8/6,608.74,602.15,615.03,595.47,4524800,3039.09,-0.0137
2018/8/7,604.51,617.08,618.47,595.27,3908600,2645.26,0.0248
2018/8/8,617.75,608.04,619.53,604.12,2968500,2016.44,-0.0147
