日期,开盘,收盘,最高,最低,成交量,成交额,涨跌幅
2020/11/3,45.72,45.62,45.92,44.98,417210,1897097408,0
2020/11/4,45.96,46.58,47.5,45.67,442601,2065796480,2.1
2020/11/5,47.68,48.12,48.35,47.5,601989,2889935680,3.31
2020/11/6,48,49.11,49.63,47.57,537628,2622692384,2.06
2020/11/9,48.75,48.4,50.07,48,687835,3359309952,-1.45
2020/11/10,48.02,48.77,49.38,47.57,479377,2336442160,0.76
2020/11/11,48.38,47.31,49,47.31,454882,2184005504,-2.99
2020/11/12,48.01,48,48.85,47.44,426364,2049569776,1.46
2020/11/13,47,47.3,47.98,45.8,631453,2970437904,-1.46
2020/11/16,48.96,48.2,48.96,46.98,470580,2255578080,1.9
2020/11/17,48.2,46.74,48.5,45.99,569460,2668247248,-3.03
2020/11/18,46.75,45.85,47.35,44.79,623353,2862410080,-1.9
2020/11/19,46.75,48.1,48.25,45.85,468789,2217180576,4.91
2020/11/20,48.11,47.63,48.2,47.03,353574,1684081216,-0.98
2020/11/23,48,46.76,48.1,46.19,420869,1968911744,-1.83
2020/11/24,46.76,46.13,46.85,45.58,358800,1653697568,-1.35
2020/11/25,45.83,45.61,46.78,45.61,273719,1263159760,-1.13
2020/11/26,46.12,46.03,46.3,44.8,265792,1211364432,0.92
2020/11/27,46.55,47,47.21,45.22,397770,1851851728,2.11
2020/11/30,46.7,45.67,46.91,45.63,353228,1626128176,-2.83
2020/12/1,45.9,45.48,46.28,45.05,416642,1890821904,-0.42
2020/12/2,45.5,44.83,45.68,44.8,305902,1375118464,-1.43
2020/12/3,45.11,45.5,45.78,44.51,325369,1469920896,1.49
2020/12/4,45.14,45.87,46,45.14,307253,1403016064,0.81
2020/12/7,45,44.8,45.52,43.54,503950,2263334016,-2.33
2020/12/8,44.95,44.28,45.2,43.68,502852,2234520128,-1.16
2020/12/9,44.5,43.71,44.63,43.55,352552,1549925488,-1.29
2020/12/10,43.99,45,45.89,43.38,434982,1952422224,2.95
2020/12/11,45.12,44.47,45.4,43.7,456454,2020677472,-1.18
2020/12/14,44.48,45.85,46.3,44.42,510182,2331354752,3.1
2020/12/15,46.3,46.71,47.2,45.85,485532,2268365456,1.88
2020/12/16,46.35,46,46.71,45.63,367432,1691696736,-1.52
2020/12/17,45.74,44.87,46.07,44.62,387467,1750203840,-2.46
2020/12/18,44.7,45.88,45.88,44.54,568843,2577562464,2.25
2020/12/21,45.49,45.19,45.61,43.61,479046,2149480400,-1.5
2020/12/22,44.98,44.82,45.72,44.68,326904,1478956160,-0.82
2020/12/23,44.4,45.76,46.7,44.25,531273,2425960576,2.1
2020/12/24,46.05,47.12,47.5,46.05,599399,2812982480,2.97
2020/12/25,47.38,47.25,47.9,46.7,438999,2080711824,0.28
2020/12/28,46.33,47,47.34,46.33,423222,1983876320,-0.53
2020/12/29,47.14,46.61,47.5,44.91,455530,2113307440,-0.83
2020/12/30,46.31,46.95,47.66,45.98,461890,2175470224,0.73
2020/12/31,46.1,48.51,49.14,46.1,1189437,5785848576,3.32
2021/1/4,48.1,49.8,50.65,46.92,1577934,7675782144,2.66
2021/1/5,49.5,54.78,54.78,49.4,1471561,7956690688,10
2021/1/6,55.5,55.42,58.32,54.8,1317527,7419141888,1.17
2021/1/7,56,58.29,59.45,55.68,936097,5423116544,5.18
2021/1/8,58.2,57.34,58.9,55.72,855450,4894349568,-1.63
2021/1/11,58.01,59,61.31,57.84,1293371,7708604416,2.9
2021/1/12,59.04,61.25,61.55,59.01,841412,5112224512,3.81
2021/1/13,60.8,59.91,61.44,59,720995,4349146880,-2.19
2021/1/14,59.12,57.24,59.69,56.8,624065,3629182992,-4.46
2021/1/15,57.58,58.9,60.97,57.58,572560,3386754288,2.9
2021/1/18,58.21,59.78,61.1,57.07,459471,2736546480,1.49
2021/1/19,59.82,60.59,62.19,59.82,482539,2948151408,1.35
2021/1/20,59.71,60.4,60.58,59.2,462393,2771744368,-0.31
2021/1/21,60.63,63.2,64.57,60.6,746409,4690048512,4.64
2021/1/22,64,66.74,67.88,63.5,686165,4524129280,5.6
2021/1/25,66.81,67.65,70.48,64.53,629224,4255124848,1.36
2021/1/26,66.73,65.1,67.38,64.7,484004,3175946144,-3.77
2021/1/27,65.15,69.08,69.78,63.94,596291,3962059408,6.11
2021/1/28,67.5,63.95,67.5,62.17,846186,5470475264,-7.43
2021/1/29,63.6,63,64.92,61.51,622610,3916791616,-1.49
2021/2/1,63.59,63.66,64.5,61.3,502356,3157186160,1.05
2021/2/2,63.66,64.48,66.06,63.5,452638,2936284480,1.29
2021/2/3,64.48,59.9,66.49,59.12,733881,4634693120,-7.1
2021/2/4,61.01,60.78,62.64,59.9,635136,3881094944,1.47
2021/2/5,60.82,59.64,61.3,58.06,565122,3363584288,-1.88
2021/2/8,59.62,59.88,61.27,58.4,531110,3184120208,0.4
2021/2/9,60.84,62.5,63.65,60.21,556881,3462194272,4.38
2021/2/10,62.5,66,66.5,61.28,556860,3593450416,5.6
2021/2/18,66.01,61.31,67.2,61.05,700399,4421816320,-7.11
2021/2/19,60.6,61.68,62.19,59.52,416276,2547252016,0.6
2021/2/22,61.4,58.64,61.4,57.8,668893,3944737232,-4.93
2021/2/23,58.55,58.36,59.79,57.11,444846,2593228960,-0.48
2021/2/24,58.98,56.06,59.02,55.21,698422,3965119328,-3.94
2021/2/25,57.18,56.98,58.4,56.5,365980,2102497072,1.64
2021/2/26,55,55.56,56.59,54.35,476523,2651193808,-2.49
