日期,收盘,开盘,高,低,交易量,涨跌幅
2025/10/31,404.88,399,404.88,399,4.42M,1.65%
2025/10/30,398.29,405.98,409.08,396.83,34.31M,-0.43%
2025/10/29,400,386,400.04,384.7,34.47M,3.50%
2025/10/28,386.48,386.16,393.8,383.02,28.71M,0.08%
2025/10/27,386.18,393,393,376.57,40.45M,0.11%
2025/10/24,385.77,379.97,387.8,378,32.04M,2.48%
2025/10/23,376.45,373.8,378.8,369,24.00M,0.96%
2025/10/22,372.86,375.9,378.88,368.2,21.95M,-0.81%
2025/10/21,375.9,373,381.35,363.1,44.63M,2.56%
2025/10/20,366.5,365,368.89,359.53,28.43M,2.33%
2025/10/17,358.14,367.5,375,356.99,31.91M,-2.81%
2025/10/16,368.5,367.5,373.9,364.5,27.63M,-0.22%
2025/10/15,369.3,358.5,369.71,354.76,36.99M,3.16%
2025/10/14,358,381,385.8,355.77,49.64M,-4.41%
2025/10/13,374.5,362.86,384.6,362.86,47.15M,-1.95%
2025/10/10,381.95,401,403.8,379.01,53.31M,-6.82%
2025/10/9,409.89,399.98,424.36,399.74,41.21M,1.96%
2025/9/30,402,396,408.88,396,33.03M,1.17%
2025/9/29,397.37,386.34,399.89,386.01,38.96M,4.46%
2025/9/26,380.4,392.02,399.99,380,36.26M,-3.17%
2025/9/25,392.85,376.6,402.59,376.47,46.64M,3.40%
2025/9/24,379.93,371,380,366.06,38.31M,3.20%
2025/9/23,368.15,368,376.96,360,34.85M,-0.51%
2025/9/22,370.05,370.5,372.72,362.78,28.53M,0.42%
2025/9/19,368.49,365,375.71,361.72,33.91M,0.44%
2025/9/18,366.89,374.59,380,360.8,51.89M,-2.71%
2025/9/17,377.1,356.8,381.88,354,54.38M,6.70%
2025/9/16,353.42,356.11,359,348.5,37.74M,-0.36%
2025/9/15,354.7,346.01,371.52,344.02,71.84M,9.14%
2025/9/12,325,325.9,329.9,322.2,33.87M,0.76%
2025/9/11,322.55,315.55,322.98,309.04,38.03M,2.06%
2025/9/10,316.04,317.99,322,313,36.75M,-1.24%
2025/9/9,320,322.8,334.58,317.16,43.40M,-1.65%
2025/9/8,325.37,334,337.65,323.5,58.83M,0.08%
2025/9/5,325.11,299.9,325.11,299.82,70.82M,6.93%
2025/9/4,304.03,313.47,323.33,300.63,65.75M,-1.61%
2025/9/3,309,303.5,311.65,303.03,50.90M,2.02%
2025/9/2,302.87,304.03,311.1,299.03,37.12M,-0.37%
2025/9/1,304,306.5,306.9,299.3,43.00M,-0.71%
2025/8/29,306.18,278.31,316.66,277.95,78.01M,10.37%
2025/8/28,277.41,276.06,278.99,272.72,30.47M,-0.32%
