Date,Open,Close,High,Low,Volume,³É½»¶î,Õñ·ù,ÕÇµø·ù,ÕÇµø¶î,»»ÊÖÂÊ,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,CCI,ROC,AO,ADX,TR
2018/8/23,18.22,17.44,18.96,17.44,115613435,2105050480,8.6,-1.36,-0.24,0.73,17.07,17.06,17.4,49.05,-0.64,-0.82,0.18,97.39,-3.54,-1.2,19.05,1.52
2018/8/24,17.2,17.04,17.34,16.92,38150978,651833888,2.41,-2.29,-0.4,0.24,17.2,16.95,17.3,45.62,-0.61,-0.78,0.17,-16.58,-6.17,-1.1,17.57,0.52
2018/8/27,17.34,17.32,17.48,17.08,29085179,504843216,2.35,1.64,0.28,0.18,17.38,16.94,17.23,48.34,-0.56,-0.74,0.18,11.12,-0.69,-0.91,16.45,0.44
2018/8/28,17.6,17.12,17.62,16.94,26264447,450979792,3.93,-1.15,-0.2,0.17,17.32,16.94,17.21,46.55,-0.52,-0.69,0.17,2.25,-0.23,-0.8,15.65,0.68
2018/8/29,17.12,17.14,17.28,17.02,15457732,264667123,1.52,0.12,0.02,0.1,17.21,17.02,17.17,46.76,-0.49,-0.65,0.16,-0.66,5.15,-0.79,14.93,0.26
2018/8/30,17.28,17.14,17.28,17.04,16052634,274818112,1.4,0,0,0.1,17.15,17.11,17.16,46.76,-0.46,-0.61,0.15,14.4,5.54,-0.9,14.29,0.24
2018/8/31,16.88,16.8,16.98,16.62,28107696,470445696,2.1,-1.98,-0.34,0.18,17.1,17.15,17.15,43.36,-0.46,-0.58,0.13,-38.64,2.69,-0.86,13.25,0.52
2018/9/3,16.8,16.5,16.86,16.38,20242557,334959312,2.86,-1.79,-0.3,0.13,16.94,17.16,17.12,40.56,-0.47,-0.56,0.09,-65.59,0.24,-0.86,12.71,0.48
2018/9/4,16.62,16.74,16.94,16.5,15882122,266426105,2.67,1.45,0.24,0.1,16.86,17.09,17.08,43.69,-0.46,-0.54,0.08,-43.07,-3.79,-0.82,12.07,0.44
2018/9/5,16.7,16.56,16.74,16.52,16304906,270426480,1.31,-1.08,-0.18,0.1,16.75,16.98,17.05,41.91,-0.46,-0.53,0.06,-77.78,-6.33,-0.8,11.49,0.22
2018/9/6,16.56,16.46,16.82,16.42,26331333,437000128,2.42,-0.6,-0.1,0.17,16.61,16.88,16.97,40.91,-0.47,-0.51,0.05,-89.42,-5.62,-0.81,11.15,0.4
2018/9/7,16.5,16.5,16.78,16.36,15029354,248465531,2.55,0.24,0.04,0.09,16.55,16.83,16.89,41.51,-0.46,-0.5,0.04,-96.11,-3.17,-0.77,10.95,0.42
2018/9/10,16.5,16.04,16.56,15.84,33387796,536985808,4.36,-2.79,-0.46,0.21,16.46,16.7,16.82,36.86,-0.49,-0.5,0.01,-139.33,-7.39,-0.77,11.7,0.72
2018/9/11,16.1,16.12,16.2,16,16082229,258858255,1.25,0.5,0.08,0.1,16.34,16.6,16.77,38.16,-0.49,-0.5,0,-126.86,-5.84,-0.83,12.39,0.2
2018/9/12,16.18,15.66,16.26,15.58,29186620,464912352,4.22,-2.85,-0.46,0.18,16.16,16.45,16.74,33.85,-0.53,-0.51,-0.03,-160.3,-8.63,-0.89,13.68,0.68
2018/9/13,16,16.4,16.4,16,29462632,476702576,2.55,4.73,0.74,0.19,16.14,16.38,16.74,44.67,-0.5,-0.5,0.01,-70.52,-4.32,-0.9,14.49,0.74
2018/9/14,16.66,16.68,16.84,16.56,28920836,483161472,1.71,1.71,0.28,0.18,16.18,16.37,16.76,48.12,-0.44,-0.49,0.05,20.23,-0.71,-0.82,14.18,0.44
2018/9/17,16.5,16.42,16.56,16.1,10710658,175289448,2.76,-1.56,-0.26,0.07,16.26,16.36,16.76,45.29,-0.41,-0.48,0.06,-42.04,-0.48,-0.75,14.65,0.58
2018/9/18,16.42,16.28,16.5,16.1,21242979,345414640,2.44,-0.85,-0.14,0.13,16.29,16.31,16.7,43.8,-0.4,-0.46,0.06,-46.21,-2.75,-0.66,15.08,0.4
2018/9/19,16.4,16.56,16.6,16.3,18679934,307478208,1.84,1.72,0.28,0.12,16.47,16.31,16.65,47.53,-0.36,-0.44,0.08,16.98,0,-0.52,15.23,0.32
2018/9/20,16.54,16.48,16.72,16.3,13270198,218824364,2.54,-0.48,-0.08,0.08,16.48,16.31,16.6,46.58,-0.33,-0.42,0.09,29.74,0.12,-0.44,15.07,0.42
2018/9/21,16.6,16.76,16.76,16.46,22287398,371181248,1.82,1.7,0.28,0.14,16.5,16.34,16.58,50.32,-0.28,-0.39,0.11,77.83,1.58,-0.43,14.81,0.3
2018/9/24,16.6,16.5,16.64,16.26,11639050,191088337,2.27,-1.55,-0.26,0.07,16.52,16.39,16.54,47.03,-0.26,-0.37,0.1,24.42,2.87,-0.38,14.98,0.5
2018/9/26,16.4,16.36,16.5,16.28,11449568,187465870,1.33,-0.85,-0.14,0.07,16.53,16.41,16.5,45.3,-0.25,-0.34,0.09,0.35,1.49,-0.33,15.14,0.22
2018/9/27,16.38,15.96,16.38,15.96,26452436,425591440,2.57,-2.44,-0.4,0.17,16.41,16.44,16.45,40.72,-0.28,-0.33,0.05,-86.37,1.92,-0.34,15.92,0.42
