日期,开盘,收盘,最高,最低,成交量,成交额,涨跌幅
2020/11/3,100.4,101.07,101.3,99.68,56871,572337936,0.49
2020/11/4,101.08,100,101.1,99.14,55736,556764448,-1.06
2020/11/5,100.65,102.21,102.59,100.3,74793,761461120,2.21
2020/11/6,102.6,100.69,102.67,100,59097,595278048,-1.49
2020/11/9,101.97,102.91,103.1,100.98,76042,777071840,2.2
2020/11/10,103.03,101.19,103.79,100.23,78172,794789152,-1.67
2020/11/11,100.97,99.98,101.17,99.88,56356,564451120,-1.2
2020/11/12,100,98.78,100.65,98.45,62960,624183776,-1.2
2020/11/13,98.9,97.41,98.92,96.45,60892,591883872,-1.39
2020/11/16,97.8,97.05,98.18,96.56,51603,501284864,-0.37
2020/11/17,97.08,96.36,97.11,95.8,50461,485491952,-0.71
2020/11/18,96.01,96.6,97.1,96.01,45777,441387312,0.25
2020/11/19,96.2,96.3,96.45,95,51579,494620832,-0.31
2020/11/20,96.33,97.85,98.37,96.33,60103,586771984,1.61
2020/11/23,97.85,98.1,98.79,96.6,53214,520072752,0.26
2020/11/24,97.93,97.58,98.5,97.3,37991,371955696,-0.53
2020/11/25,97.58,96.2,97.88,96.08,35094,339580320,-1.41
2020/11/26,96,95.9,96.54,95.55,34167,327614160,-0.31
2020/11/27,95.89,96.35,96.62,95.6,27222,261434690,0.47
2020/11/30,96.3,95.27,96.3,94.26,72992,693178240,-1.12
2020/12/1,95.18,97.49,97.7,95,63445,615651856,2.33
2020/12/2,97.49,98.49,99.5,97,55022,541931168,1.03
2020/12/3,98.51,98.56,99.2,98,49965,492933904,0.07
2020/12/4,98.2,101.15,101.39,98.2,81805,822315168,2.63
2020/12/7,101.18,100.16,101.74,99.81,43118,433411872,-0.98
2020/12/8,100.38,99.84,100.68,98.06,46121,458679072,-0.32
2020/12/9,99.51,100.33,101.7,99.1,57635,579803072,0.49
2020/12/10,100,103.53,105.65,99.33,105678,1090849312,3.19
2020/12/11,107.1,109.8,110.59,107.1,235347,2573757184,6.06
2020/12/14,110.5,113.39,114.31,108.88,166977,1875597968,3.27
2020/12/15,113,113,114.69,110.11,145826,1634350080,-0.34
2020/12/16,112.02,111.25,112.7,109.2,140291,1556085120,-1.55
2020/12/17,111.31,112.18,114.38,111,99580,1119332112,0.84
2020/12/18,112,113.9,115.77,111.45,123240,1403917952,1.53
2020/12/21,112.8,110.1,112.8,109,130337,1437860064,-3.34
2020/12/22,110.16,109.56,112.5,109.29,117934,1309625776,-0.49
2020/12/23,110,108.85,110.47,107.36,76624,832771808,-0.65
2020/12/24,108.51,109.53,111.88,108.01,92339,1020688736,0.62
2020/12/25,109.98,114.53,115.59,109.2,127930,1448091536,4.56
2020/12/28,114.9,111.98,114.9,111.1,100820,1131364048,-2.23
2020/12/29,112.5,110.5,112.79,109.28,61875,685924208,-1.32
2020/12/30,109.95,112,112.53,109.3,78134,871455552,1.36
2020/12/31,112.33,113.6,113.94,111.3,96901,1092481600,1.43
2021/1/4,113.9,124.96,124.96,113.02,200447,2424451952,10
2021/1/5,126.58,137.46,137.46,126.58,200942,2676774720,10
2021/1/6,140,136.56,141,134,208095,2850596352,-0.65
2021/1/7,136.56,144.88,148.56,135.5,221576,3145054416,6.09
2021/1/8,143.85,140.97,149,137.68,177393,2513769664,-2.7
2021/1/11,140,136.64,142.95,135,148562,2063321872,-3.07
2021/1/12,136.95,142.2,142.93,136.95,130904,1843362640,4.07
2021/1/13,142.39,140.7,149,139.68,172635,2465337680,-1.05
2021/1/14,138.51,136.49,141.5,135.9,121279,1671851872,-2.99
2021/1/15,136,133.02,136,128.98,135288,1785388624,-2.54
2021/1/18,132.9,134.11,135.8,130.68,82129,1100416544,0.82
2021/1/19,133.01,131.51,134.4,130.6,83444,1103719280,-1.94
2021/1/20,131.89,135.1,135.44,131.89,72571,974231744,2.73
2021/1/21,135.53,136.73,137.95,134,93391,1271199600,1.21
2021/1/22,136.6,138.75,140.49,134.8,96379,1329672032,1.48
2021/1/25,138.5,139.39,142.33,137.03,112095,1563718816,0.46
2021/1/26,139.5,133.38,139.67,133.38,83747,1131541328,-4.31
